id,content,response
US-0000461-A,"Title: Improvement in the Method of Constructing Locks for Fire-Arms
Authors: Ethan Allen
Invention_Date: November 11, 1837
City: Grafton, Massachusetts",
US-0000481-A,"Title: Improvement in the Pistol-Saber
Authors: Robert B. Lawton
Invention_Date: November 23, 1837
City: Newport, Rhode Island",
US-0000603-A,"Title: Improvement in the Construction of Many-Chambered Fire-Arms
Authors: E. A. Bennett and F. P. Haviland
Invention_Date: February 15, 1838
City: Waterville, Maine",
US-0000610-A,"Title: Improvement in Fire-Arms
Authors: Henry Daniels and Charles Daniels
Invention_Date: February 15, 1838
City: Chester, Connecticut",
US-0000629-A,"Title: Improvement in Locks for Guns, &c.
Authors: Philo W. Hoyt
Invention_Date: March 10, 1838
City: Danbury",
US-0000677-A,"Title: IMPROVEMENT IN REPEATING OR MANY-CHAMBERED FIRE-ARMS.
Authors: HENRY DANIELS and CHAS. DANIELS
Invention_Date: April 5, 1838
City: CHESTER, CONNECTICUT",
US-0000698-A,"Title: Improvement in Many-Chambered-Cylinder Fire-Arms
Authors: Theodore F. Strong
Invention_Date: April 21, 1838
City: Northampton",
US-0000707-A,"Title: Improvement in Many-Chambered-Cylinder Fire-Arms
Authors: Rufus Nichols and Edward Childs
Invention_Date: April 24, 1838
City: Conway, Massachusetts",
US-0000713-A,"Title: IMPROVEMENT IN MANY-CHAMBERED-CYLINDER FIRE-ARMS.
Authors: MIGHILL NUTTING
Invention_Date: April 25, 1838
City: PORTLAND, MAINE",
US-0000747-A,"Title: Improvement in Fire-Arms
Authors: William Jenks
Invention_Date: May 25, 1838
City: Columbia, South Carolina",
US-0000832-A,"Title: Improvement in Many-Chambered-Cylinder Fire-Arms
Authors: Elijah Jaquith
Invention_Date: July 12, 1838
City: Brattleborough",
US-0000847-A,"Title: Improvement in Gun-Carriages for Naval and Other Purposes
Authors: William Smith
Invention_Date: July 19, 1838
City: Washington",
US-0000865-A,"Title: Improvement in Fire-Arms Applicable Alike to Small-Arms and Cannons.
Authors: Hezekiah L. Thistle.
Invention_Date: August 1, 1838.
City: New Orleans.",
US-0000960-A,"Title: IMPROVEMENT IN FIRE-ARMS
Authors: SAMUEL ADAMS
Invention_Date: October 3, 1888
City: SPRINGFIELD, MASSACHUSETTS",
US-0001084-A,"Title: Improvement In Fire-Arms
Authors: L. Bailey, J. B. Ripley, Wm. B. Smith
Invention_Date: February 20, 1839
City: [The city is not explicitly mentioned in the text provided; however, the inventors' locations are mentioned as Portland, Maine; Claremont; and Cornish, New Hampshire]",
US-0001106-A,"Title: Muzzle-loading Fire-arm
Authors: Elon B. Butterfield
Invention_Date: March 16, 1839
City: Brattleboro, Vermont",
US-0001134-A,"Title: Improvement in Fire-Arms
Authors: David Edwards
Invention_Date: April 25, 1839
City: Zanesville, Ohio",
US-0001141-A,"Title: Improvement in Fire-Arms
Authors: Nathan Starr
Invention_Date: May 3, 1839
City: Middletown, Connecticut",
US-0001304-A,"Title: Improvement in Fire-Arms and in the Apparatus Used Therewith
Authors: Samuel Colt
Invention_Date: August 29, 1839
City: Paterson, New Jersey",
US-0001422-A,"Title: IMPROVEMENT IN THE CONSTRUCTION OF FIRE-ARMS.
Authors: BENJ. F. SMITH.
Invention_Date: December 5, 1839.
City: SOUTH HADLEY, MASSACHUSETTS.",
US-0001461-A,"Title: Improvement in Fire-Arms
Authors: Silas Day and Samuel Hall
Invention_Date: December 31, 1839
City: New York, N. Y.",
US-0001544-A,"Title: IMPROVEMENT IN GUNS, PISTOLS, AND OTHER FIRE-ARMS
Authors: GEO. STOCKER AND JOSEPH BENTLEY
Invention_Date: April 8, 1840
City: BIRMINGHAM",
US-0001565-A,"Title: MOVABLE LOADING-MUZZLE FOR RIFLES
Authors: ALVAN CLARK
Invention_Date: April 24, 1840
City: CAMBRIDGE, MASSACHUSETTS",
US-0001611-A,"Title: Improvement in Rifles and Other Fire-Arms
Authors: James R. Thomas
Invention_Date: May 19, 1840
City: Collinsworth, Georgia",
US-0001810-A,"Title: Improvement in Fire-Arms
Authors: Silas Day
Invention_Date: October 8, 1840
City: New York",
US-0001958-A,"Title: Improvement in the Manner of Discharging Fire-Arms of Various Kinds, Whether of the Smaller Kind – as Pistols, Guns, &c. – or Pieces of Ordnance
Authors: Joshua Shaw
Invention_Date: January 30, 1841
City: Philadelphia",
US-0002203-A,"Title: Improvement in Portable Fire-Arms
Authors: Charles Louis Stanislas, Baron Heurteloup
Invention_Date: July 29, 1841
City: County of Middlesex, England",
US-0002441-A,"Title: Muzzle-Loading Fire-Arm
Authors: J. Griswold
Invention_Date: February 1, 1842
City: Chambers County, Alabama",
US-0002594-A,"Title: IMPROVEMENT IN CANNON-LOCKS
Authors: ENOCH HIDDEN, SAMUEL SAWYER
Invention_Date: April 29, 1842
City: [The city is not mentioned in the provided images]",
US-0003115-A,"Title: ATTACHED MUZZLE FOR FIREARMS
Authors: PHILO S. NEWTON
Invention_Date: June 1, 1843
City: HARTFORD, CONNECTICUT",
US-0003649-A,"Title: Improvement in Fire-Arms
Authors: Wm. W. Hubbell
Invention_Date: July 1, 1844
City: Philadelphia",
US-0003685-A,"Title: Muzzle-Loading Ordnance
Authors: R. T. Loper
Invention_Date: July 30, 1844
City: Philadelphia",
US-0003686-A,"Title: Improvement in Fire-Arms
Authors: Edwd. Savage and Simeon North
Invention_Date: July 30, 1844
City: Middletown",
US-0003998-A,"Title: Improvement in Pistols and Other Fire-Arms
Authors: Ethan Allen
Invention_Date: April 16, 1845
City: Norwich, Connecticut",
US-0004208-A,"Title: PERCUSSION-PRIMER AND GUN-LOCK THEREFOR.
Authors: Edward Maynard
Invention_Date: September 22, 1845
City: Washington, District of Columbia",
US-0004960-A,"Title: Improvement in Wrought-Iron Cannon
Authors: Albert Eames
Invention_Date: February 5, 1847
City: Chicopee Falls, Massachusetts",
US-0005141-A,"Title: IMPROVEMENT IN FIRE-ARMS
Authors: HENRY S. NORTH
Invention_Date: June 5, 1847
City: MIDDLETOWN, CONNECTICUT",
US-0005146-A,"Title: Improvement in Fire-Arms
Authors: Edwin Wesson
Invention_Date: June 5, 1847
City: Northborough, Massachusetts",
US-0005316-A,"Title: Improvement in Fire-Arms
Authors: L. H. Gibbs
Invention_Date: October 2, 1847
City: Oberlin, Ohio",
US-0005402-A,"Title: Muzzle For Rifles
Authors: John H. Rector
Invention_Date: December 18, 1847
City: Syracuse",
US-0005656-A,"Title: Bedstead
Authors: B. Hinckley
Invention_Date: July 5, 1848
City: [city not specified in the provided text]",
US-0005763-A,"Title: Sliding Breech-Pin and Self-Capping Gun
Authors: Christian Sharps
Invention_Date: September 12, 1848
City: Cincinnati",
US-0005814-A,"Title: IMPROVED SELF-LOADING AND SELF-CAPPING REPEATING FIRE-ARM.
Authors: MILO M. CASS.
Invention_Date: September 26, 1848.
City: UTICA, NEW YORK.",
US-0006090-A,"Title: Bolt And Disk Sectional Cannon
Authors: Jesse Fitzgerald
Invention_Date: February 6, 1849
City: New York",
US-0006124-A,"Title: Attachment of Loading-Muzzles for Rifles
Authors: Daniel Smith
Invention_Date: February 20, 1849
City: Scipio, New York",
US-0006136-A,"Title: IMPROVED CARTRIDGE-TUBE-FORMING AND CONVEYER REPEATING FIRE-ARM
Authors: CHRISTIAN W. BÜCHEL
Invention_Date: February 20, 1849
City: NEW YORK, N. Y.",
US-0006139-A,"Title: Improvement in Fire-Arms
Authors: David Minsinger
Invention_Date: February 27, 1849
City: Beaver, Pennsylvania",
US-0006453-A,"Title: IMPROVED LOCK FOR FIRE-ARMS
Authors: JACOB POST
Invention_Date: May 15, 1849
City: NEWARK",
US-0006514-A,"Title: IMPROVED GUN-LOCK
Authors: WILLIAM W. MARSTON
Invention_Date: June 5, 1849
City: NEW YORK, N.Y.",
US-0006537-A,"Title: Rotating-Tumbler Gun-Lock
Authors: Thomas W. Harvey
Invention_Date: June 19, 1849
City: New York",
US-0006612-A,"Title: IMPROVEMENT IN MOVABLE BREECHES FOR FIRE-ARMS AND THE LOCKS AND APPURTENANCES OF THE SAME.
Authors: BENJ. CHAMBERS
Invention_Date: July 31, 1849
City: WASHINGTON, DISTRICT OF COLUMBIA",
US-0006663-A,"Title: COMBINED PISTON BREECH AND FIRING COCK REPEATING GUN.
Authors: WALTER HUNT.
Invention_Date: AUG. 21, 1849.
City: [City information not available in the image provided]
",
US-0006669-A,"Title: Revolver
Authors: Edwin Wesson
Invention_Date: August 28, 1849
City: Hartford",
US-0006723-A,"Title: IMPROVED FIRE-ARM WITH SEVERAL STATIONARY BARRELS AND A REVOLVING HAMMER
Authors: GEORGE LEONARD, JR.
Invention_Date: September 18, 1849
City: SHREWSBURY, MASSACHUSETTS",
US-0006925-A,"Title: IMPROVED CONCEALED TRIGGER FOR FIRE-ARMS
Authors: JACOB PECARE and JOSIAH M. SMITH.
Invention_Date: December 4, 1849
City: NEW YORK, N. Y.",
US-0006945-A,"Title: Improvement In Faucet-Breech Guns
Authors: Alonzo D. Perry
Invention_Date: December 11, 1849
City: New York",
US-0006960-A,"Title: IMPROVED METHOD OF REVOLVING THE HAMMERS OF REPEATING FIRE-ARMS
Authors: CHRISTIAN SHARPS
Invention_Date: December 18, 1849
City: WASHINGTON, DISTRICT OF COLUMBIA",
US-0006964-A,"Title: Improved Concealed-Hammer and Turning-Nipple Lock
Authors: Andrew Wurfflein
Invention_Date: December 18, 1849
City: Philadelphia",
US-0006966-A,"Title: IMPROVED LOCK FOR FIRE-ARMS
Authors: ORISON BLUNT
Invention_Date: December 25, 1849
City: NEW YORK, N.Y.",
US-0006973-A,"Title: Improvement in Breech-Loading Fire-Arms
Authors: Lewis Jennings
Invention_Date: December 25, 1849
City: New York",
US-0007218-A,"Title: Revolver
Authors: H. Iversen
Invention_Date: Mar. 26, 1850
City: New York",
US-0007300-A,"Title: Revolver
Authors: D.H. Chamberlain
Invention_Date: April 23, 1850
City: Not specified in the images provided",
US-0007334-A,"Title: Breech-Loading Fire-Arm
 Authors: J. Wurfflein
 Invention_Date: April 30, 1850
 City: Philadelphia",
US-0007360-A,"Title: TOOTHED-SEGMENT LOCK FOR FIRE-ARMS
Authors: DEXTER H. CHAMBERLAIN
Invention_Date: May 14, 1850
City: BOSTON",
US-0007443-A,"Title: Breech-Loading Fire-Arm
Authors: William W. Marston
Invention_Date: June 18, 1850
City: New York",
US-0007493-A,"Title: Improvement In Revolving-Hammer Fire-Arms
Authors: George Leonard, Jr.
Invention_Date: July 9, 1850
City: Shrewsbury, Massachusetts",
US-0007496-A,"Title: IMPROVEMENT IN CHARGERS ATTACHED TO FIRE-ARMS
Authors: ORVILLE B. PERCIVAL, ASA SMITH
Invention_Date: July 9, 1850
City: EAST HADDAM, CONNECTICUT; NEW YORK, N. Y.",
US-0007547-A,"Title: Improved Method of Making Barrels for Fire-Arms
Authors: Jesse Pannabecker
Invention_Date: August 6, 1850
City: Elizabeth Township, Pennsylvania",
US-0007596-A,"Title: IMPROVED LOCK FOR FIRE-ARMS
Authors: NATHAN B. COOK
Invention_Date: August 27, 1850
City: CHICAGO",
US-0007613-A,"Title: Improvement in Repeating Fire-Arms
Authors: Samuel Colt
Invention_Date: September 3, 1850
City: Hartford, Connecticut",
US-0007629-A,"Title: Improvement in Revolving Chambered Fire-Arms
Authors: Samuel Colt
Invention_Date: September 10, 1850
City: Hartford",
US-0007802-A,"Title: Improvement in the Locking Apparatus of Repeating Fire-Arms
Authors: Joshua Stevens
Invention_Date: November 26, 1850
City: Chicopee, Massachusetts",
US-0007887-A,"Title: IMPROVED FLY-TUMBLER LOCK FOR FIRE-ARMS
Authors: S. W. MARSTON
Invention_Date: January 7, 1851
City: NEW YORK, N. Y.",
US-0007894-A,"Title: IMPROVED MEANS FOR REVOLVING THE BREECHES OF REPEATING FIRE-ARMS
Authors: JAMES WARNER
Invention_Date: January 7, 1851
City: SPRINGFIELD, MASSACHUSETTS",
US-0008126-A,"Title: Improvement in Breech-Loading Fire-Arms
Authors: Edward Maynard
Invention_Date: May 27, 1851
City: Washington, District of Columbia",
US-0008210-A,"Title: Improvement in Revolving-Breech Fire-Arms
Authors: P.W. Porter
Invention_Date: July 8, 1851
City: Memphis",
US-0008229-A,"Title: Improvement in Revolving-Breech Fire-Arms
Authors: James Warner
Invention_Date: July 15, 1851
City: Springfield, Massachusetts",
US-0008317-A,"Title: Magazine Fire-Arm
Authors: Horace Smith
Invention_Date: August 26, 1851
City: Norwich, Connecticut",
US-0008412-A,"Title: IMPROVEMENT IN REVOLVING-BREECH PISTOLS.
Authors: JOSHUA STEVENS
Invention_Date: October 7, 1851
City: CHICOPEE, MASSACHUSETTS",
US-0008528-A,"Title: Improvement in Cannon for Throwing Chain-Shot
Authors: Adam Lemmer
Invention_Date: November 18, 1851
City: Newark",
US-0008637-A,"Title: IMPROVEMENT IN BREECH-LOADING FIRE-ARMS
Authors: RICHARD S. LAWRENCE
Invention_Date: January 6, 1852
City: WINDSOR, VERMONT",
US-0008690-A,"Title: Improvement in Fire-Arms
Authors: Charles V. Nickerson
Invention_Date: January 27, 1852
City: Baltimore",
US-0008762-A,"Title: IMPROVEMENT IN WATER-GUNS FOR EXTINGUISHING FIRES.
Authors: HIRAM STRAIT
Invention_Date: February 24, 1852
City: COVINGTON, KENTUCKY",
US-0008982-A,"Title: Improvement in Revolving-Breech Fire-Arms
Authors: Henry S. North, Chauncey D. Skinner
Invention_Date: June 1, 1852
City: Middletown, Connecticut",
US-0009308-A,"Title: Method of Priming Firearms
Authors: Christian Sharps
Invention_Date: October 5, 1852
City: Hartford, Connecticut",
US-0009615-A,"Title: IMPROVED CANNON-SIGHT
Authors: JOHN A. WAGENER
Invention_Date: March 8, 1853
City: CHARLESTON",
US-0009694-A,"Title: IMPROVEMENT IN REVOLVING FIRE-ARMS
Authors: ROBT. ADAMS
Invention_Date: May 3, 1853
City: LONDON",
US-0009701-A,"Title: Improvement in Repeating Fire-Arms
Authors: Charles N. Tyler
Invention_Date: May 3, 1853
City: Worcester, Massachusetts",
US-0009922-A,"Title: IMPROVEMENT IN FIRE-ARMS
Authors: George Leonard
Invention_Date: August 9, 1853
City: Shrewsbury, Massachusetts",
US-0009929-A,"Title: Improvement in Repeating Fire-Arms
Authors: Joshua Stevens
Invention_Date: August 9, 1853
City: Chicopee",
US-0009934-A,"Title: IMPROVEMENT IN GUN-LOCKS
Authors: P. F. CHARPIE
Invention_Date: August 16, 1853
City: MOUNT VERNON, OHIO",
US-0009943-A,"Title: IMPROVEMENT IN BREECH-LOADING FIRE-ARMS.
Authors: JOHN P. SCHENKL
Invention_Date: August 16, 1853
City: BOSTON, MASSACHUSETTS",
US-0009950-A,"Title: Improvement in Discharging Breech-Loading Fire-Arms
Authors: Henry Stanton
Invention_Date: August 16, 1853
City: Not specified in the provided image text",
US-0009999-A,"Title: IMPROVED PROCESS FOR MAKING TWISTED GUN-BARRELS
Authors: THOMAS WARNER
Invention_Date: September 6, 1853
City: CHICOPEE, MASSACHUSETTS",
US-0010084-A,"Title: Improvement in Magazine-Guns
Authors: Edmund H. Graham
Invention_Date: October 4, 1853
City: Biddeford, Maine",
US-0010259-A,"Title: IMPROVEMENT IN REVOLVING FIRE-ARMS
Authors: MORGAN L. ROOD
Invention_Date: November 22, 1853
City: MARSHALL, MICHIGAN",
US-0010391-A,"Title: Improvement in Breech-Loading Fire-Arms
Authors: J. Durell Greene
Invention_Date: January 3, 1854
City: Cambridge, Massachusetts",
US-0010520-A,"Title: Improvement In Fire-Arms
Authors: Thomas Cook
Invention_Date: February 14, 1854
City: New York, N.Y.",
US-0010535-A,"Title: IMPROVEMENT IN FIRE-ARMS
Authors: HORACE SMITH and DANIEL B. WESSON
Invention_Date: February 14, 1854
City: NORWICH, CONNECTICUT",
US-0010812-A,"Title: Improvement In Revolving Fire-Arms
Authors: Josiah Ells
Invention_Date: April 25, 1854
City: Pittsburg",
US-0010821-A,"Title: Improvement in Fire-Arms
Authors: Charles Buss
Invention_Date: April 25, 1854
City: Marlborough, New Hampshire",
US-0010927-A,"Title: Improvement in Gun-Locks
Authors: James Hults
Invention_Date: May 16, 1854
City: Delaware County, Ohio",
US-0010930-A,"Title: Improvement in Fire-Arms
Authors: J[eremiah] Peck and Chas. F. Grill[y]
Invention_Date: May 16, 1854
City: New Haven",
US-0010944-A,"Title: Improvement in Magazine-Guns
Authors: Edmund H. Graham
Invention_Date: May 16, 1854
City: Biddeford, Maine",
US-0010950-A,"Title: Primer for Fire-Arms
Authors: Abner N. Newton
Invention_Date: May 23, 1854
City: Richmond, Indiana",
US-0011157-A,"Title: IMPROVEMENT IN BREECH-LOADING FIRE-ARMS
Authors: J. DURELL GREENE
Invention_Date: June 27, 1854
City: CAMBRIDGE",
US-0011197-A,"Title: Magazine Fire-Arm
Authors: Edward Lindner
Invention_Date: June 27, 1854
City: New York",
US-0011198-A,"Title: Improvement in Breech-Loading Fire-Arms
Authors: Abner R. Newton
Invention_Date: June 27, 1854
City: Richmond, Indiana",
US-0011218-A,"Title: Submarine Battery
Authors: J. Frey and D. B. Burnham
Invention_Date: July 4, 1854
City: Battle Creek, Michigan",
US-0011283-A,"Title: IMPROVEMENT IN FIRE-ARMS
Authors: EDEN A. BALDWIN, 2D, OF SHELBURNE FALLS, MASSACHUSETTS, ADMINISTRATOR OF EDEN BALDWIN, DECEASED
Invention_Date: July 11, 1854
City: SHELBURNE FALLS, MASSACHUSETTS",
US-0011447-A,"Title: Revolver
Authors: E. Whitney
Invention_Date: August 1, 1854
City: Whitneyville, Connecticut",
US-0011470-A,"Title: FIRE-ARM.
Authors: ISAAC W. BROWN.
Invention_Date: August 8, 1854.
City: WEST SPRINGFIELD, MASSACHUSETTS.",
US-0011477-A,"Title: Improvement in Fire-Arms
Authors: Joseph C. Day
Invention_Date: August 8, 1854
City: Hackettstown",
US-0011483-A,"Title: Improvement In Fire-Arms
Authors: Daniel Knight
Invention_Date: August 8, 1854
City: Salem, Indiana",
US-0011536-A,"Title: Improvement In Fire-Arms
Authors: William A. Sweet
Invention_Date: August 15, 1854
City: Pompey, New York",
US-0011678-A,"Title: IMPROVEMENT IN BREECH-LOADING CANNON
Authors: William E. Osborn
Invention_Date: September 12, 1854
City: Milton",
US-0011685-A,"Title: Improvement in Breech-Loading Fire-Arms
Authors: Henry W. Adams
Invention_Date: September 19, 1854
City: New York",
US-0011698-A,"Title: Revolver
Authors: Wm. Henry Morrison
Invention_Date: September 19, 1854
City: Indianapolis",
US-0011700-A,"Title: BREECH-LOADING FIRE-ARM
Authors: ABNER N. NEWTON
Invention_Date: September 19, 1854
City: RICHMOND, INDIANA",
US-0011715-A,"Title: Improvement in Fire-Arms
Authors: Fordyce Beals
Invention_Date: September 26, 1854
City: New Haven",
US-0011835-A,"Title: Improvement in Fire-Arms
Authors: Gustav F. Palmie, A. H. Palmie
Invention_Date: October 24, 1854
City: Berlin",
US-0011862-A,"Title: Improvement in Fire-Arms
Authors: John C. Howe
Invention_Date: October 31, 1854
City: Milwaukee",
US-0011917-A,"Title: IMPROVEMENT IN FIRE-ARMS
Authors: WENDELL WRIGHT
Invention_Date: November 7, 1854
City: NEW YORK, N.Y.",
US-0011938-A,"Title: IMPROVEMENT IN BREECH-LOADING FIRE-ARMS
Authors: FRANCIS MATON
Invention_Date: November 14, 1854
City: NEW YORK",
US-0012001-A,"Title: Improvement in Breech-Loading Fire-Arms
Authors: A. D. Perry
Invention_Date: November 28, 1854
City: Newark, New Jersey",
US-0012124-A,"Title: Improvement in Locks for Fire-Arms
Authors: J. S. Butterfield
Invention_Date: January 2, 1855
City: Philadelphia",
US-0012189-A,"Title: Revolver
Authors: J. Stevens
Invention_Date: Jan. 2, 1855
City: Chicopee Falls, Massachusetts",
US-0012230-A,"Title: Improvement in Fire-Arms
Authors: Thomas H. Barlow
Invention_Date: January 16, 1855
City: Lexington, Kentucky",
US-0012235-A,"Title: Improvement in Fire-Arms
Authors: Edmund H. Graham
Invention_Date: January 16, 1855
City: Biddeford",
US-0012244-A,"Title: IMPROVEMENT IN FIRE-ARMS
Authors: ALONZO D. PERRY
Invention_Date: January 16, 1855
City: NEWARK, NEW JERSEY",
US-0012295-A,"Title: IMPROVEMENT IN REPEATING-CANNON
Authors: SAMUEL HUFFMAN
Invention_Date: January 23, 1855
City: CHARLESTOWN, ILLINOIS",
US-0012328-A,"Title: Improvement in Portable Fire-Arms 
Authors: A. O. H. P. Schorn 
Invention_Date: January 30, 1855 
City: Murfreesborough, Tennessee",
US-0012440-A,"Title: IMPROVEMENT IN REPEATING SINGLE-BARRELED FIRE-ARMS
Authors: DANIEL B. NEAL
Invention_Date: February 27, 1855
City: MOUNT GILEAD, OHIO",
US-0012470-A,"Title: Improvement in Fire-Arms
Authors: Jehu Hollingsworth, Ralph S. Mershon
Invention_Date: February 27, 1855
City: Zanesville, Ohio",
US-0012471-A,"Title: Improvement in Repeating Fire-Arms
Authors: Ralph S. Mershon and Jehu Hollingsworth
Invention_Date: February 27, 1855
City: Zanesville, Ohio",
US-0012522-A,"Title: Improvement in Ordnance
Authors: Christopher Wolter
Invention_Date: March 13, 1855
City: Bridgeport, Connecticut",
US-0012528-A,"Title: IMPROVEMENT IN BREECH-LOADING FIRE-ARMS
Authors: ROLLIN WHITE
Invention_Date: March 13, 1855
City: HARTFORD, CONNECTICUT",
US-0012529-A,"Title: Improvement in Breech-Loading Fire-Arms
Authors: Rollin White
Invention_Date: March 13, 1855
City: Hartford, Connecticut",
US-0012555-A,"Title: Improvement in Fire-Arms
Authors: Frederick Newbury
Invention_Date: March 20, 1855
City: Albany",
US-0012567-A,"Title: IMPROVEMENT IN BREECH-LOADING FIRE-ARMS
Authors: ALEXANDER T. WATSON
Invention_Date: March 20, 1855
City: CASTLETON, NEW YORK",
US-0012638-A,"Title: IMPROVEMENT IN BREECH-LOADING FIRE-ARMS.
Authors: ROLLIN WHITE
Invention_Date: April 3, 1855
City: HARTFORD, CONNECTICUT",
US-0012648-A,"Title: IMPROVEMENT IN REPEATING FIRE-ARMS
Authors: ROLLIN WHITE
Invention_Date: April 3, 1855
City: HARTFORD, CONNECTICUT",
US-0012649-A,"Title: Improved Repeating Fire-Arm
Authors: Rollin White
Invention_Date: April 3, 1855
City: Hartford, Connecticut",
US-0012655-A,"Title: Improved Breech-Loading Fire-Arm
Authors: George H. Soule
Invention_Date: April 3, 1855
City: Jersey City",
US-0012681-A,"Title: Improvement in Fire-Arms
Authors: Ferdinand Klein
Invention_Date: April 10, 1855
City: Newark, New Jersey",
US-0012836-A,"Title: Improvement in Fire-Arms
Authors: John Stowell
Invention_Date: May 8, 1855
City: Charlestown",
US-0012906-A,"Title: Improvement in Fire-Arms
Authors: Henry Gross
Invention_Date: May 22, 1855
City: Tiffin, Ohio",
US-0013039-A,"Title: Improvement in Revolving Fire-Arms
Authors: Frederick Newbury
Invention_Date: June 12, 1855
City: Albany, New York",
US-0013154-A,"Title: Improvement in Fire-Arms
Authors: Ethan Allen
Invention_Date: July 3, 1855
City: Worcester",
US-0013249-A,"Title: IMPROVED MODE OF MOUNTING ORDNANCE.
Authors: CHAS. F. BROWN.
Invention_Date: July 17, 1855.
City: WARREN, RHODE ISLAND.",
US-0013292-A,"Title: Improvement In Fire-Arms
Authors: John A. Reynolds
Invention_Date: July 17, 1855
City: Elmira, New York",
US-0013293-A,"Title: IMPROVEMENT IN FIRE-ARMS
Authors: JOHN A. REYNOLDS
Invention_Date: July 17, 1855
City: ELMIRA, NEW YORK",
US-0013294-A,"Title: IMPROVED APPARATUS FOR COOLING REPEATING FIRE-ARMS
Authors: JOHN A. REYNOLDS
Invention_Date: July 17, 1855
City: ELMIRA, NEW YORK",
US-0013442-A,"Title: Improvement in Gun-Locks
Authors: Michael Tromly
Invention_Date: August 14, 1855
City: Mount Vernon, Illinois",
US-0013474-A,"Title: IMPROVEMENT IN BREECH-LOADING MAGAZINE FIRE-ARMS
Authors: John Swyney
Invention_Date: August 21, 1855
City: Charlestown",
US-0013507-A,"Title: Improvement in Breech-Loading Fire-Arms
Authors: Benjamin F. Joslyn
Invention_Date: August 28, 1855
City: Worcester",
US-0013581-A,"Title: Revolver
Authors: W. W. Marston
Invention_Date: September 18, 1855
City: New York",
US-0013582-A,"Title: Improvement in Revolving Fire-Arms
Authors: F. Newbury
Invention_Date: September 18, 1855
City: Albany",
US-0013592-A,"Title: Improvement in Fire-Arms
Authors: F. Beertsecher
Invention_Date: September 25, 1855
City: Philadelphia",
US-0013660-A,"Title: IMPROVEMENT IN APPLYING FIRE-EXTINGUISHING CARTRIDGES.
Authors: WM. MT. STORM.
Invention_Date: October 9, 1855.
City: NEW YORK, N.Y.",
US-0013691-A,"Title: Improvement in Breech-Loading Fire-Arms
Authors: H. B. Weaver
Invention_Date: October 16, 1855
City: South Windham",
US-0013825-A,"Title: Improvement in Gun-Locks
Authors: John Phin
Invention_Date: November 20, 1855
City: Rochester",
US-0013851-A,"Title: Improvement in Cannon
Authors: Alfred Krupp
Invention_Date: November 27, 1855
City: Essen",
US-0013927-A,"Title: IMPROVED MANUFACTURE OF CANNON
Authors: DANIEL TREADWELL
Invention_Date: December 11, 1855
City: LONDON",
US-0013941-A,"Title: Improvement in Fire-Arms
Authors: Joseph C. Day
Invention_Date: December 18, 1855
City: Hackettstown, New Jersey",
US-0013999-A,"Title: IMPROVEMENT IN REVOLVING FIRE-ARMS
Authors: E. K. ROOT
Invention_Date: December 25, 1855
City: HARTFORD, CONNECTICUT",
